datetime,rm,ru,rf,rs,rb,sz,ss,cm
2023-05-17 16:10:02,4046680,266492,3830168,238196,44,4063228,3563676,1826208
2023-05-17 16:15:02,4046680,359180,3921616,236900,44,4063228,3562436,1753840
2023-05-17 16:20:01,4046680,359056,3921492,236900,44,4063228,3562436,1753956
2023-05-17 16:25:02,4046680,359428,3921864,236900,44,4063228,3562436,1754080
2023-05-17 16:30:02,4046680,190100,3752536,245092,44,4063228,3562436,1762404
2023-05-17 16:35:01,4046680,185416,3747852,245092,44,4063228,3562436,1762444
2023-05-17 16:40:02,4046680,185344,3747780,245092,44,4063228,3562436,1762564
2023-05-17 16:45:01,4046680,184316,3746752,245092,44,4063228,3562436,1763476
2023-05-17 16:50:02,4046680,275728,3839404,205372,44,4063228,3563676,1723896
2023-05-17 16:55:02,4046680,254304,3817988,205372,44,4063228,3563684,1724020
2023-05-17 17:00:02,4046680,254836,3818520,205372,44,4063228,3563684,1724132
2023-05-17 17:05:01,4046680,316692,3878800,203812,44,4063228,3562108,1611924
2023-05-17 17:10:02,4046680,275688,3837796,203812,44,4063228,3562108,1612152
2023-05-17 17:15:02,4046680,252872,3814980,203812,44,4063228,3562108,1612280
2023-05-17 17:20:02,4046680,253140,3815248,203812,44,4063228,3562108,1612396
2023-05-17 17:25:02,4046680,356836,3918944,203812,44,4063228,3562108,1612528
2023-05-17 17:30:01,4046680,345776,3907884,203812,44,4063228,3562108,1612644
2023-05-17 17:35:01,4046680,261496,3823612,212004,44,4063228,3562116,1625860
2023-05-17 17:40:02,4046680,252960,3815076,212004,44,4063228,3562116,1625976
2023-05-17 17:45:02,4046680,271100,3833216,212004,44,4063228,3562116,1626100
2023-05-17 17:50:02,4046680,271844,3833960,212004,44,4063228,3562116,1626220
2023-05-17 17:55:01,4046680,271952,3834072,212004,44,4063228,3562120,1626348
2023-05-17 18:00:02,4046680,299240,3861360,212004,44,4063228,3562120,1626576
2023-05-17 18:05:01,4046680,324208,3886328,212060,44,4063228,3562120,1626660
2023-05-17 18:10:02,4046680,332764,3894884,212060,44,4063228,3562120,1626896
2023-05-17 18:15:02,4046680,320588,3882708,212060,44,4063228,3562120,1627032
2023-05-17 18:20:01,4046680,408152,3968632,218568,44,4063228,3560480,1573564
2023-05-17 18:25:01,4046680,396304,3956784,218568,44,4063228,3560480,1574676
2023-05-17 18:30:02,4046680,351732,3912212,218568,44,4063228,3560480,1574804
2023-05-17 18:35:02,4046680,351292,3911772,218568,44,4063228,3560480,1574936
2023-05-17 18:40:01,4046680,351540,3912020,218568,44,4063228,3560480,1575060
2023-05-17 18:45:02,4046680,365536,3929204,205372,44,4063228,3563668,1561996
2023-05-17 18:50:02,4046680,365584,3929252,205372,44,4063228,3563668,1562120
2023-05-17 18:55:02,4046680,364808,3928476,205372,44,4063228,3563668,1562260
2023-05-17 19:00:01,4046680,365480,3929148,205372,44,4063228,3563668,1562388
2023-05-17 19:05:02,4046680,348576,3912244,205428,44,4063228,3563668,1562568
2023-05-17 19:10:02,4046680,349336,3913004,205428,44,4063228,3563668,1562804
2023-05-17 19:15:01,4046680,362744,3926412,205372,44,4063228,3563668,1565452
2023-05-17 19:20:02,4046680,353136,3916804,213564,44,4063228,3563668,1573772
2023-05-17 19:25:01,4046680,353268,3916936,213564,44,4063228,3563668,1573936
2023-05-17 19:30:02,4046680,353144,3916812,213564,44,4063228,3563668,1574056
2023-05-17 19:35:01,4046680,353284,3916956,213564,44,4063228,3563672,1574204
2023-05-17 19:40:02,4046680,353080,3916752,213564,44,4063228,3563672,1574328
2023-05-17 19:45:02,4046680,352632,3916304,213564,44,4063228,3563672,1574460
2023-05-17 19:50:02,4046680,352632,3916304,213564,44,4063228,3563672,1574600
