datetime,Physical memory,Virtual memory,Memory buffers,Cached memory,Shared memory,Swap space,/,/dev/shm,/run,/sys/fs/cgroup,/boot,/run/user/42,/run/user/1035,/run/media/admin/CentOS 7 x86_64,/run/user/1028
2023-05-09 23:50:01,3667056,4326876,56,1272352,205736,659820,14620545,0,51511,0,50651,1,7,4245165,
2023-05-09 23:55:02,3670528,4330348,56,1274084,205736,659820,14620322,0,51511,0,50651,1,7,4245165,
2023-05-10 00:00:02,3679456,4339268,56,1283896,213928,659812,14620316,0,53559,0,50651,1,7,4245165,
2023-05-10 00:05:02,3696600,4356408,56,1284392,213984,659808,14620311,0,53573,0,50651,1,7,4245165,0
2023-05-10 00:10:01,3683428,4343236,56,1287624,213928,659808,14620331,0,53559,0,50651,1,7,4245165,
2023-05-10 00:15:02,3692352,4352160,56,1296084,222120,659808,14620986,0,55607,0,50651,1,7,4245165,
2023-05-10 00:20:02,3676092,4335900,56,1279996,205736,659808,14620993,0,51511,0,50651,1,7,4245165,
2023-05-10 00:25:02,3676480,4336284,56,1280348,205736,659804,14621116,0,51511,0,50651,1,7,4245165,
2023-05-10 00:30:02,3676880,4336684,56,1280716,205736,659804,14621202,0,51511,0,50651,1,7,4245165,
2023-05-10 00:35:01,3685356,4345160,56,1289248,213928,659804,14621197,0,53559,0,50651,1,7,4245165,
2023-05-10 00:40:02,3685904,4345708,56,1289616,213928,659804,14621412,0,53559,0,50651,1,7,4245165,
2023-05-10 00:45:02,3686276,4346080,56,1290096,213928,659804,14621487,0,53559,0,50651,1,7,4245165,
2023-05-10 00:50:02,3711292,4371096,56,1303996,222120,659804,14621522,0,55607,0,50651,1,7,4245165,
2023-05-10 00:55:02,3712036,4371840,56,1304228,222120,659804,14621490,0,55607,0,50651,1,7,4245165,
2023-05-10 01:00:01,3695296,4355100,56,1288144,205736,659804,14621513,0,51511,0,50651,1,7,4245165,
2023-05-10 01:05:01,3712560,4372364,56,1288560,205792,659804,14621493,0,51525,0,50651,1,7,4245165,0
2023-05-10 01:10:02,3712776,4372580,56,1288940,205820,659804,14621499,0,51525,0,50651,1,7,4245165,0
2023-05-10 01:15:02,3706804,4366600,56,1300160,213936,659796,14621494,0,53559,0,50651,1,7,4245165,
2023-05-10 01:20:02,3708440,4368236,56,1300520,213936,659796,14621515,0,53559,0,50651,1,7,4245165,
2023-05-10 01:25:02,3709208,4369004,56,1300912,213936,659796,14621496,0,53559,0,50651,1,7,4245165,
2023-05-10 01:30:02,3717276,4377072,56,1309452,222128,659796,14621503,0,55607,0,50651,1,7,4245165,
2023-05-10 01:35:02,3701236,4361032,56,1293432,205744,659796,14621498,0,51511,0,50651,1,7,4245165,
2023-05-10 01:40:02,3701016,4360812,56,1293800,205744,659796,14621504,0,51511,0,50651,1,7,4245165,
2023-05-10 01:45:02,3701620,4361416,56,1294084,205744,659796,14621499,0,51511,0,50651,1,7,4245165,
2023-05-10 01:50:02,3710076,4369872,56,1302636,213936,659796,14621519,0,53559,0,50651,1,7,4245165,
2023-05-10 01:55:02,3710796,4370592,56,1302992,213936,659796,14621510,0,53559,0,50651,1,7,4245165,
2023-05-10 02:00:02,3718788,4378584,56,1303332,213936,659796,14622756,0,53559,0,50651,1,7,4245165,
2023-05-10 02:05:02,3666044,4327988,56,1252808,228464,661944,14622853,0,57669,0,50651,1,7,4245165,0
2023-05-10 02:10:01,3675708,4337652,56,1262148,228464,661944,14622860,0,57669,0,50651,1,7,4245165,0
2023-05-10 02:15:02,3675992,4337936,56,1262508,228464,661944,14622835,0,57669,0,50651,1,7,4245165,0
2023-05-10 02:20:02,3684408,4346352,56,1270924,236656,661944,14623109,0,59717,0,50651,1,7,4245165,0
2023-05-10 02:25:02,3684936,4346880,56,1271276,236656,661944,14623092,0,59717,0,50651,1,7,4245165,0
2023-05-10 02:30:02,3685044,4346988,56,1271640,236656,661944,14623297,0,59717,0,50651,1,7,4245165,0
2023-05-10 02:35:01,3693228,4355172,56,1280184,244848,661944,14623271,0,61765,0,50651,1,7,4245165,0
2023-05-10 02:40:02,3654292,4314320,56,1241592,205800,660028,14623286,0,51525,0,50651,1,7,4245165,0
2023-05-10 02:45:01,3655408,4315436,56,1241948,205800,660028,14623272,0,51525,0,50651,1,7,4245165,0
2023-05-10 02:50:02,3738584,4398612,56,1242896,205800,660028,14623292,0,51525,0,50651,1,7,4245165,0
2023-05-10 02:55:02,3883308,4556900,56,1015840,204172,673592,14623276,0,53573,0,50651,1,7,4245165,0
2023-05-10 03:00:02,3887392,4560984,56,1019324,204172,673592,14623271,0,53573,0,50651,1,7,4245165,0
2023-05-10 03:05:01,3832184,4511288,56,932140,207888,679104,14623278,0,55621,0,50651,1,7,4245165,0
2023-05-10 03:10:02,3838488,4517592,56,938556,207888,679104,14623290,0,55621,0,50651,1,7,4245165,0
2023-05-10 03:15:01,3647012,4365648,56,630784,156628,718636,14623293,0,51525,0,50651,1,7,4245165,0
2023-05-10 03:20:02,3818876,4537512,56,727736,156628,718636,14623326,0,51525,0,50651,1,7,4245165,0
2023-05-10 03:25:02,3816884,4539688,56,681788,153128,722804,14624212,0,51525,0,50651,1,7,4245165,0
2023-05-10 03:30:01,3884784,4607588,56,691160,161320,722804,14624227,0,53573,0,50651,1,7,4245165,0
2023-05-10 03:35:02,3885448,4608252,56,691572,161320,722804,14624213,0,53573,0,50651,1,7,4245165,0
2023-05-10 03:40:02,3886068,4608872,56,692412,161320,722804,14624241,0,53573,0,50651,1,7,4245165,0
2023-05-10 03:45:02,3919612,4642416,56,710208,169512,722804,14624553,0,55621,0,50651,1,7,4245165,0
2023-05-10 03:50:02,3914688,4626276,56,705412,164340,711588,14624568,0,51525,0,50651,1,7,4245165,0
2023-05-10 03:55:02,3915644,4627232,56,705780,164340,711588,14624555,0,51525,0,50651,1,7,4245165,0
2023-05-10 04:00:01,3915256,4626844,56,706116,164340,711588,14624832,0,51525,0,50651,1,7,4245165,0
2023-05-10 04:05:02,3878576,4610080,52,650976,160504,731504,14624796,0,53581,0,50651,1,7,4245165,0
2023-05-10 04:10:02,3665644,4446512,48,486204,128828,780868,14624975,0,53573,0,50651,1,7,4245165,0
2023-05-10 04:15:01,3768492,4549348,48,589060,128828,780856,14624975,0,53573,0,50651,1,7,4245165,0
2023-05-10 04:20:02,3777172,4558028,48,597592,137020,780856,14625135,0,55621,0,50651,1,7,4245165,0
2023-05-10 04:25:01,3786200,4567048,48,606476,145212,780848,14625136,0,57669,0,50651,1,7,4245165,0
2023-05-10 04:30:02,3786028,4566876,48,606792,145212,780848,14625160,0,57669,0,50651,1,7,4245165,0
2023-05-10 04:35:02,3742592,4523424,48,621668,145212,780832,14625514,0,57669,0,50651,1,7,4245165,0
2023-05-10 04:40:01,3752716,4533544,48,630432,153404,780828,14625395,0,59717,0,50651,1,7,4245165,0
2023-05-10 04:45:01,3753460,4534280,48,630760,153404,780820,14625708,0,59717,0,50651,1,7,4245165,0
2023-05-10 04:50:02,3753444,4534244,48,631120,153404,780800,14625587,0,59717,0,50651,1,7,4245165,0
2023-05-10 04:55:02,3762108,4542908,48,639848,161596,780800,14625734,0,61765,0,50651,1,7,4245165,0
